"","park","ndvi_summer","occur_bs_1000m","poverty","medianhousevalue","medhouseholdincome","pct_owner_occ","education","pct_blk","hispanic","popdensity","smoke_rate","summer_tmmx","summer_sph","summer_pr","occur_bs","pm25","no2"
"park",1,0.0290868131317464,0.239493164933418,-0.0376300514109816,0.31405321060466,0.21072482248723,-0.0296397916772386,-0.103418436575157,-0.0784518647701689,-0.04291742250753,0.132249414100811,-0.0194471796941825,-0.279950227473548,-0.217635382933033,-0.0627417019758174,0.177397238898687,-0.0879844633507314,0.152343247214017
"ndvi_summer",0.0290868131317464,1,0.0598320738928637,-0.398787006835938,-0.103538344558168,0.269330375981501,0.449573887723932,-0.331586866174419,0.00669365724936298,-0.52021393694773,-0.535088699799372,0.239947152597226,-0.135819904912106,0.267705170010673,0.391455489587106,0.159628663139899,-0.0852791663722524,-0.317717891629366
"occur_bs_1000m",0.239493164933418,0.0598320738928637,1,-0.00827052881251517,0.0430537116656179,0.0184432594238519,0.00523698529219423,-0.052969911076372,-0.0123131253216477,-0.130473119002905,-0.0986229782445166,0.202200720164916,-0.155750782156573,0.175414364948951,0.267351514924499,0.787587489200666,-0.187842871985492,-0.186981728089726
"poverty",-0.0376300514109816,-0.398787006835938,-0.00827052881251517,1,-0.270579560461574,-0.676471127909751,-0.652189059396118,0.659925726483493,0.417699752648228,0.342940198781649,0.424275035310922,-0.0833525608152955,0.070166559981019,0.0513454223689013,0.0160899547411092,-0.0942355617671336,0.0695914827259925,0.125386930972584
"medianhousevalue",0.31405321060466,-0.103538344558168,0.0430537116656179,-0.270579560461574,1,0.710560301649208,0.0764528031413348,-0.417024597040471,-0.370386591376602,0.107686973562964,0.232343549937255,-0.361394453033415,-0.308207553732237,-0.339817196799921,-0.262006433039486,-0.0428443667167569,-0.197754807777596,0.133575054708131
"medhouseholdincome",0.21072482248723,0.269330375981501,0.0184432594238519,-0.676471127909751,0.710560301649208,1,0.59254137991673,-0.656665880671331,-0.436575104639972,-0.160634155488362,-0.185720793671834,-0.1814186682598,-0.161912618513782,-0.15804800917137,-0.104202550455666,0.0543992347799989,-0.185596510006986,-0.0506333333126469
"pct_owner_occ",-0.0296397916772386,0.449573887723932,0.00523698529219423,-0.652189059396118,0.0764528031413348,0.59254137991673,1,-0.410104132727475,-0.362951134972877,-0.333920666893021,-0.524082527343518,0.158747390435608,0.0352267980989728,0.0812147395707866,0.124443306013083,0.126505969808269,-0.098622740657683,-0.168094634274808
"education",-0.103418436575157,-0.331586866174419,-0.052969911076372,0.659925726483493,-0.417024597040471,-0.656665880671331,-0.410104132727475,1,0.345312823650491,0.347016871527931,0.310683305911551,-0.0123672010376215,0.016251989358288,0.0641383624579635,0.0259689584888758,-0.104050951185733,0.333430601590531,0.302185043744867
"pct_blk",-0.0784518647701689,0.00669365724936298,-0.0123131253216477,0.417699752648228,-0.370386591376602,-0.436575104639972,-0.362951134972877,0.345312823650491,1,0.0161695037528167,0.135648046810278,0.0283301958551971,0.15304502393245,0.326940087904837,0.255695053799072,-0.0283372247286734,0.129842066735591,0.0120381678225963
"hispanic",-0.04291742250753,-0.52021393694773,-0.130473119002905,0.342940198781649,0.107686973562964,-0.160634155488362,-0.333920666893021,0.347016871527931,0.0161695037528167,1,0.363105415239707,-0.398261974345873,0.21489995459708,-0.126040511803408,-0.255010959988228,-0.140083407252447,-0.0880192557959122,0.11495503992574
