"","Beta","model","out","exposure","pop","se","iqr","Lower","Upper","beta_exp","Lower_exp","Upper_exp","beta_ci"
"1",-0.0176155249961705,"model 5","cvd","park","full",0.00813735025109511,0.159118870754791,-0.0335644384179049,-0.00166661157443612,0.99720096218637,0.994673500833961,0.999734845807877,"1 (0.99, 1)"
"2",-0.129129417125543,"model 5","cvd","ndvi_summer","full",0.0119777101233178,0.274767457777641,-0.152605297584507,-0.105653536666579,0.965141494788568,0.958935973963436,0.971387173131778,"0.97 (0.96, 0.97)"
"3",-0.0247083297985369,"model 5","cvd","occur_bs_1000m","full",0.0143425865723313,0.0322254268358965,-0.052819282925454,0.00340262332838022,0.999204080437983,0.998299323853954,1.00010965700101,"1 (1, 1)"
"4",-0.0326029598329646,"model 5","res","park","full",0.0120948096969762,0.159118870754791,-0.0563083512389038,-0.00889756842702545,0.994825686963946,0.991080297431391,0.998585230690452,"0.99 (0.99, 1)"
"5",-0.04701351464945,"model 5","res","ndvi_summer","full",0.0185823135582321,0.274767457777641,-0.0834341799730152,-0.0105928493258848,0.98716529256302,0.977335783629091,0.997093661323327,"0.99 (0.98, 1)"
"6",-0.108228957265802,"model 5","res","occur_bs_1000m","full",0.0214487715278652,0.0322254268358965,-0.150267776973046,-0.0661901375585581,0.996518350701908,0.995169262473296,0.997869267804377,"1 (1, 1)"
"7",-0.0549288499028515,"model 5","cvd","park","urban",0.0149967343412528,0.159118870754791,-0.084321909097422,-0.025535790708281,0.991297868087615,0.986672402548321,0.995945017553003,"0.99 (0.99, 1)"
"8",-0.0761539992130398,"model 5","cvd","ndvi_summer","urban",0.0185204549019975,0.274767457777641,-0.112453423798253,-0.0398545746278264,0.979292760543695,0.969573939724205,0.989109000935072,"0.98 (0.97, 0.99)"
"9",0.0362565024305895,"model 5","cvd","occur_bs_1000m","urban",0.0188795400196827,0.0322254268358965,-0.000746716052671209,0.0732597209138502,1.0011690640897,0.999975937045995,1.00236361471981,"1 (1, 1)"
"10",-0.0308030102474504,"model 5","res","park","urban",0.0210315518530725,0.159118870754791,-0.0720240944184591,0.0104180739235583,0.995110651761249,0.988605027575924,1.00165908692251,"1 (0.99, 1)"
"11",0.0640779245791317,"model 5","res","ndvi_summer","urban",0.0256699760025614,0.274767457777641,0.0137656961301039,0.114390153028159,1.01776243701694,1.00378952750109,1.03192985165064,"1.02 (1, 1.03)"
"12",0.0236077921917619,"model 5","res","occur_bs_1000m","urban",0.0254098738139818,0.0322254268358965,-0.0261946453353498,0.0734102297188736,1.00076106063983,0.999156222553815,1.00236847640611,"1 (1, 1)"
"13",-0.0144539222120981,"model park only","cvd","park","full",0.00767590015732536,0.159118870754791,-0.0294984100693811,0.000590565645184936,0.997702750944352,0.995317244747864,1.0000939745539,"1 (1, 1)"
"14",-0.121450479115319,"model ndvi only","cvd","ndvi_summer","full",0.011991004232837,0.274767457777641,-0.144952415550147,-0.0979485426804911,0.967180018134087,0.960954510500669,0.973445857484429,"0.97 (0.96, 0.97)"
"15",0.019264365485944,"model blue only","cvd","occur_bs_1000m","full",0.0141708185579326,0.0322254268358965,-0.00850992851905572,0.0470386594909437,1.0006209951382,0.999725801520407,1.0015169903474,"1 (1, 1)"
"16",-0.0167141840503453,"model blue no buffer","cvd","park","full",0.00771262535103949,0.159118870754791,-0.0318306519646333,-0.00159771613605731,0.997343991357244,0.994947947366999,0.999745805525535,"1 (0.99, 1)"
"17",-0.134373148613361,"model blue no buffer","cvd","ndvi_summer","full",0.012250220830458,0.274767457777641,-0.158383140243721,-0.110363156983001,0.963751913688016,0.957414810349726,0.970130962145899,"0.96 (0.96, 0.97)"
"18",-0.107516403086032,"model blue no buffer","cvd","occur_bs","full",0.0243054574179371,0.03222543,-0.155154224252961,-0.0598785819191034,0.996541233041304,0.995012567158886,0.99807224745625,"1 (1, 1)"
"19",-0.0170570273125301,"model no2","cvd","park","full",0.00785820468968009,0.159118870754791,-0.0324588254874468,-0.00165522913761338,0.997289584901341,0.994848503049626,0.999736656489774,"1 (0.99, 1)"
"20",-0.0447264452064487,"model no2","cvd","ndvi_summer","full",0.012218191733616,0.274767457777641,-0.0686736609605411,-0.0207792294523563,0.987785834289764,0.981307623289354,0.994306811917855,"0.99 (0.98, 0.99)"
"21",0.00429587742899487,"model no2","cvd","occur_bs_1000m","full",0.0146561690879872,0.0322254268358965,-0.0244296861347893,0.033021440992779,1.00013844606656,0.999213052742377,1.00106469641798,"1 (1, 1)"
"22",0.014827422218758,"model pm25","cvd","park","full",0.00778262652951769,0.159118870754791,-0.000426245484222621,0.0300810899217386,1.00236210807152,0.999932178599861,1.0047979425009,"1 (1, 1)"
"23",-0.138395198740259,"model pm25","cvd","ndvi_summer","full",0.0123033871590575,0.274767457777641,-0.162509394459864,-0.114281003020654,0.962687432295123,0.956329946473509,0.969087181381754,"0.96 (0.96, 0.97)"
"24",0.003623713173543,"model pm25","cvd","occur_bs_1000m","full",0.0145549778636077,0.0322254268358965,-0.0249035192349058,0.0321509455819918,1.0001167825223,0.999197795401233,1.00103661485872,"1 (1, 1)"
"25",-0.0182543035706569,"excl 1yr","cvd","park","full",0.00908026130862102,0.159118870754791,-0.0360512887057666,-0.000457318435547163,0.997099610110855,0.994279981609618,0.999927234654487,"1 (0.99, 1)"
"26",-0.132909366578262,"excl 1yr","cvd","ndvi_summer","full",0.0113336607227516,0.274767457777641,-0.155122933407851,-0.110695799748673,0.964139612349151,0.958272845590508,0.970042296803218,"0.96 (0.96, 0.97)"
