"","Beta","model","out","strata","exposure","pop","se","iqr","Lower","Upper","beta_exp","Lower_exp","Upper_exp","beta_ci"
"1",-0.0176155249961705,"model 5","cvd","main","park","full",0.00813735025109511,0.159118870754791,-0.0335644384179049,-0.00166661157443612,0.99720096218637,0.994673500833961,0.999734845807877,"1 (0.99, 1)"
"2",-0.129129417125543,"model 5","cvd","main","ndvi_summer","full",0.0119777101233178,0.274767457777641,-0.152605297584507,-0.105653536666579,0.965141494788568,0.958935973963436,0.971387173131778,"0.97 (0.96, 0.97)"
"3",-0.0247083297985369,"model 5","cvd","main","occur_bs_1000m","full",0.0143425865723313,0.0322254268358965,-0.052819282925454,0.00340262332838022,0.999204080437983,0.998299323853954,1.00010965700101,"1 (1, 1)"
"4",-0.0326029598329646,"model 5","res","main","park","full",0.0120948096969762,0.159118870754791,-0.0563083512389038,-0.00889756842702545,0.994825686963946,0.991080297431391,0.998585230690452,"0.99 (0.99, 1)"
"5",-0.04701351464945,"model 5","res","main","ndvi_summer","full",0.0185823135582321,0.274767457777641,-0.0834341799730152,-0.0105928493258848,0.98716529256302,0.977335783629091,0.997093661323327,"0.99 (0.98, 1)"
"6",-0.108228957265802,"model 5","res","main","occur_bs_1000m","full",0.0214487715278652,0.0322254268358965,-0.150267776973046,-0.0661901375585581,0.996518350701908,0.995169262473296,0.997869267804377,"1 (1, 1)"
"7",-0.0549288499028515,"model 5","cvd","main","park","urban",0.0149967343412528,0.159118870754791,-0.084321909097422,-0.025535790708281,0.991297868087615,0.986672402548321,0.995945017553003,"0.99 (0.99, 1)"
"8",-0.0761539992130398,"model 5","cvd","main","ndvi_summer","urban",0.0185204549019975,0.274767457777641,-0.112453423798253,-0.0398545746278264,0.979292760543695,0.969573939724205,0.989109000935072,"0.98 (0.97, 0.99)"
"9",0.0362565024305895,"model 5","cvd","main","occur_bs_1000m","urban",0.0188795400196827,0.0322254268358965,-0.000746716052671209,0.0732597209138502,1.0011690640897,0.999975937045995,1.00236361471981,"1 (1, 1)"
"10",-0.0308030102474504,"model 5","res","main","park","urban",0.0210315518530725,0.159118870754791,-0.0720240944184591,0.0104180739235583,0.995110651761249,0.988605027575924,1.00165908692251,"1 (0.99, 1)"
"11",0.0640779245791317,"model 5","res","main","ndvi_summer","urban",0.0256699760025614,0.274767457777641,0.0137656961301039,0.114390153028159,1.01776243701694,1.00378952750109,1.03192985165064,"1.02 (1, 1.03)"
"12",0.0236077921917619,"model 5","res","main","occur_bs_1000m","urban",0.0254098738139818,0.0322254268358965,-0.0261946453353498,0.0734102297188736,1.00076106063983,0.999156222553815,1.00236847640611,"1 (1, 1)"
"13",-0.0341008476934727,"model 5","cvd","sex 1","park","full",0.00837567339266059,0.159118870754791,-0.0505168658893579,-0.0176848294975875,0.99458860625064,0.991994033180481,0.997189965459821,"0.99 (0.99, 1)"
"14",-0.101023705499108,"model 5","cvd","sex 1","ndvi_summer","full",0.0114380895139096,0.274767457777641,-0.123441948998316,-0.0786054619998999,0.972623687258432,0.966650930588836,0.97863334848282,"0.97 (0.97, 0.98)"
"15",-1.68071201371114e-05,"model 5","cvd","sex 1","occur_bs_1000m","full",0.0138701759986176,0.0322254268358965,-0.0272018525366595,0.0271682382963853,0.999999458383526,0.999123792785201,1.00087589144455,"1 (1, 1)"
"16",-0.00145612708056374,"model 5","cvd","sex 2","park","full",0.00999094810353701,0.159118870754791,-0.021038025534905,0.0181257713737775,0.999768329543011,0.996658049922074,1.00288831544116,"1 (1, 1)"
"17",-0.153778193910138,"model 5","cvd","sex 2","ndvi_summer","full",0.0118069303952619,0.274767457777641,-0.176919352252823,-0.130637035567453,0.958626983871494,0.952550951855608,0.96474177304256,"0.96 (0.95, 0.96)"
"18",-0.0493436948579987,"model 5","cvd","sex 2","occur_bs_1000m","full",0.0163599107639021,0.0322254268358965,-0.081408530745536,-0.0172788589704614,0.998411141945103,0.997380013519841,0.99944333638915,"1 (1, 1)"
"19",-0.0234982189517685,"model 5","cvd","age 65","park","full",0.00864444027274197,0.159118870754791,-0.0404410105528504,-0.00655542735068664,0.996267971329898,0.993585731878839,0.998957451634204,"1 (0.99, 1)"
"20",-0.10141377606897,"model 5","cvd","age 65","ndvi_summer","full",0.0123768190994031,0.274767457777641,-0.125671895746968,-0.0771556563909725,0.972519448303373,0.966058828738692,0.979023273937827,"0.97 (0.97, 0.98)"
"21",0.0159480036245787,"model 5","cvd","age 65","occur_bs_1000m","full",0.0186571091353785,0.0322254268358965,-0.0206192583363964,0.0525152655855538,1.00051406330926,0.999335756306653,1.00169375964211,"1 (1, 1)"
"22",-0.0106692823760184,"model 5","cvd","age 75","park","full",0.00856764642457463,0.159118870754791,-0.027461560800458,0.00612299604842124,0.998303756087178,0.995639880497529,1.0009747589859,"1 (1, 1)"
"23",-0.12927286046822,"model 5","cvd","age 75","ndvi_summer","full",0.0117096643049593,0.274767457777641,-0.152223380776994,-0.106322340159446,0.965103455873472,0.959036608364323,0.97120868214562,"0.97 (0.96, 0.97)"
"24",-0.0258768119668894,"model 5","cvd","age 75","occur_bs_1000m","full",0.0157806282307532,0.0322254268358965,-0.0568062749525817,0.0050526510188029,0.999166456279949,0.998171068080734,1.00016283709225,"1 (1, 1)"
"25",-0.0171060243644451,"model 5","cvd","age 85","park","full",0.0113769651142904,0.159118870754791,-0.0394044662418229,0.0051924175129327,0.997281809707439,0.993749621224808,1.00082655301798,"1 (0.99, 1)"
